Kalibrationstabelle;;a *x^4 + b * x^3 + c * x^2 + d * x + e;;;;;
180sec;< 83.6%;;;;;;
Device;NR1;NR2;NR3;NR4;NR6;NR7;NR8
a;-0.0004053;0.0001292;0.0002067;-0.0007346;-0.0002492;-0.0002162;-0.00004974
b;0.009662;-0.004875;-0.006255;0.0172;0.006154;0.006151;0.001895
c;-0.06506;0.05415;0.04539;-0.1227;-0.04265;-0.05526;-0.02162
d;1.076;0.7254;0.702;1.326;0.9857;1.027;0.8004
e;-0.1876;0.1133;0.1566;-0.2666;-0.158;-0.1517;-0.04532
Residual Standard Error;0.2739;0.1571;0.2503;0.1947;0.2066;0.1306;0.1589
R2;0.9882;0.9961;0.9901;0.994;0.9933;0.9973;0.996
